Index,Error_Value
27,0.352032
125,0.32061285
222,0.36163858
320,0.31463802
417,0.34867686
515,0.31846532
612,0.3602151
807,0.35766885
905,0.32215083
1002,0.37047836
1199,0.3616331
1297,0.318116
1394,0.36373043
1492,0.31599668
1589,0.3620735
1687,0.31716
1784,0.36799824
1882,0.3126143
1979,0.34779367
2077,0.316411
2174,0.36495274
2272,0.32114494
2369,0.36668882
2467,0.3293928
2564,0.35351062
2662,0.31349576
2857,0.32785714
2954,0.36287355
3054,0.31921503
3541,0.33802688
4651,0.4003189
4846,0.37737206
4928,0.32345408
5043,0.3704438
5125,0.3159758
5358,0.3327483
5515,0.3310045
5628,0.3876117
6176,0.3151026
6566,0.33249944
6723,0.32436952
6910,0.32599905
6958,0.31637523
6999,0.31915283
7153,0.3200578
7857,0.34997833
7926,0.3476996
7970,0.31461808
8285,0.3219702
8675,0.3452014
8713,0.3381128
8717,0.31700486
8754,0.3279679
9029,0.34002134
9177,0.3212051
9213,0.3280403
9310,0.31164286
9505,0.31097996
9506,0.3148153
9603,0.3245119
9731,0.31989935
9762,0.31852508
9802,0.32217756
9847,0.31057242
9895,0.33140785
10055,0.3430932
10073,0.35013005
10080,0.33055082
10090,0.34270632
10094,0.33521706
10112,0.3414482
10181,0.31720838
10285,0.32838282
10326,0.32405692
10376,0.3181834
10480,0.34103498
10675,0.31796855
10676,0.31711197
10872,0.31616586
11067,0.32358387
11165,0.31309682
11262,0.31858948
11263,0.33744046
11457,0.31206366
11555,0.33736765
11652,0.33686423
11750,0.32758084
11847,0.3373885
11945,0.33811128
12042,0.33464074
12140,0.3339782
12141,0.32066813
12199,0.31337127
12237,0.33622697
12335,0.33768466
12337,0.33194867
12385,0.31182292
12423,0.3275405
12432,0.33306697
12530,0.33922368
12627,0.33560017
12725,0.3316682
12727,0.31804767
12824,0.33592537
12860,0.32665446
12898,0.3154222
12922,0.32782018
12962,0.31303814
13019,0.3468788
13117,0.3234011
13211,0.39896262
13406,0.41776544
13432,0.37863475
13501,0.3438802
13507,0.3260731
13540,0.3836541
13562,0.31694043
13578,0.32938296
13601,0.41403455
13617,0.3375885
13657,0.35335484
13702,0.32788765
13796,0.40364885
13991,0.4033827
14186,0.40062627
14287,0.31584257
14359,0.3700337
14381,0.4119609
14438,0.33901605
14482,0.31927893
14576,0.4062172
14593,0.31229138
14672,0.33479235
14677,0.32227573
14712,0.33439264
14798,0.31550148
14869,0.33686477
14968,0.40049812
14980,0.31714067
15069,0.3155824
15163,0.40629414
15175,0.3444641
15215,0.35628793
15264,0.35899085
15293,0.32803333
15358,0.4031401
15370,0.3732809
15410,0.3524114
15449,0.32326922
15459,0.31257996
15488,0.36647832
15553,0.41280878
15565,0.32154945
15644,0.3168794
15654,0.32016924
15748,0.39986923
15800,0.31861168
15849,0.32734236
15878,0.3676705
15943,0.40456775
15998,0.33991268
16138,0.4194891
16333,0.41826752
16434,0.31430224
16528,0.4306436
16628,0.360558
16698,0.3691122
16725,0.40983456
16920,0.40977347
17006,0.3153916
17020,0.3484791
17115,0.40636647
17215,0.33406872
17310,0.40245333
17410,0.3248308
17416,0.32460138
17423,0.41128042
17499,0.378308
17505,0.41264135
17540,0.38016316
17578,0.35384482
17605,0.3269654
17656,0.33222517
17694,0.32491323
17700,0.407248
17735,0.34807882
17806,0.3175366
17851,0.38992307
17889,0.34330717
17895,0.41303748
17903,0.3299318
17930,0.33914834
18059,0.34352636
18090,0.4002677
18190,0.32732856
18285,0.40828457
18299,0.3268269
18466,0.3281287
18480,0.3874837
18487,0.3684099
18677,0.4040537
18685,0.35245466
18777,0.32170975
18802,0.35912973
18875,0.31174356
19070,0.31214502
19362,0.32816038
19457,0.41336697
19557,0.3157865
19752,0.33301613
19947,0.33225024
20142,0.3290457
20240,0.31120822
20337,0.33253372
20532,0.3371708
20632,0.311072
20729,0.35221684
20924,0.34465796
21119,0.31426394
21314,0.31281668
21509,0.31736252
21704,0.31478757
21802,0.3675064
21899,0.3158228
21997,0.3533881
22094,0.32709134
22192,0.35127962
22260,0.31883138
22345,0.31190035
22387,0.3474029
22476,0.33754328
22584,0.3657594
22614,0.3109925
22779,0.3543751
22974,0.3520764
23169,0.3488172
23364,0.3491983
23559,0.36852977
23948,0.33255988
26484,0.33249873
26877,0.33462217
26953,0.32685181
30586,0.3211712
30740,0.33882388
30819,0.31060722
30990,0.36987916
31380,0.31389928
31562,0.340907
31575,0.31311068
31757,0.33149746
31952,0.35390064
31965,0.35170758
32147,0.3270737
32161,0.3130468
32344,0.34743023
32358,0.3272439
32360,0.33142877
32381,0.34007055
32419,0.33619878
32441,0.320506
32459,0.33698055
32497,0.34496102
32636,0.32337454
32734,0.33614442
32831,0.312022
32935,0.3158464
33124,0.31866643
33221,0.3210276
33325,0.31377283
33416,0.31370378
33715,0.31977153
33806,0.31262165
33910,0.31081712
34001,0.3120147
34105,0.31943113
34196,0.32023838
34595,0.3148011
34692,0.3165665
34790,0.31024417
35082,0.31829175
35180,0.31276262
35375,0.31054297
35570,0.32092202
35765,0.3247137
35896,0.31397313
35960,0.31024313
36057,0.31862813
36155,0.31602108
36352,0.3239558
36443,0.3105138
36521,0.43331128
36547,0.31328514
36561,0.36058837
36599,0.40657902
36637,0.35614207
36678,0.42434165
36716,0.3957445
36742,0.3168964
36839,0.3478286
36873,0.38526374
36911,0.4398648
36951,0.39085194
36989,0.3803913
37027,0.37137872
37106,0.32319212
37146,0.31669733
37222,0.35203907
37327,0.31692773
37424,0.33324665
37536,0.40217245
37574,0.40130946
37612,0.41573188
37619,0.31330448
37814,0.34339675
37819,0.37383023
37824,0.32222044
37912,0.31056672
37937,0.3111061
38009,0.34490928
38093,0.31232685
38156,0.31518912
38172,0.33080956
38206,0.32700545
38291,0.3393831
38311,0.3584666
38333,0.3289788
38371,0.32341868
38387,0.36994016
38398,0.3973223
38419,0.3129836
38486,0.32052585
38604,0.31363046
38720,0.3354303
38723,0.33379227
38746,0.3166649
38758,0.33473027
38761,0.398283
38775,0.31221843
38788,0.39615983
38799,0.37756014
38837,0.35178387
38876,0.38134813
38972,0.3141785
38994,0.3224875
39013,0.32517412
39032,0.34534287
39373,0.37887868
39500,0.31816527
39568,0.38764808
39617,0.35848075
39641,0.32615343
39669,0.32193968
39675,0.33077085
39695,0.3999023
39713,0.3410826
39719,0.3484638
39733,0.3384672
39737,0.3703892
39763,0.40976608
39774,0.36593828
39792,0.33663005
39798,0.34594786
39812,0.35397565
39816,0.35061657
39851,0.38610527
39876,0.32947743
39890,0.33164868
39908,0.3403167
39914,0.33244994
39952,0.32966727
39958,0.39636725
39969,0.32569078
39987,0.3336437
39993,0.32548705
40046,0.33159962
40078,0.36359474
40088,0.3867811
40105,0.31706965
40111,0.31256756
40155,0.39258888
40167,0.35456866
40350,0.39463395
40362,0.3219074
40400,0.3401433
40439,0.32933322
40478,0.33356008
40545,0.39879525
40557,0.31387234
40634,0.31259283
40673,0.3247649
40740,0.3840849
40935,0.4337158
41014,0.31355768
41036,0.31700277
41130,0.3861723
41325,0.40832967
41520,0.42616302
41715,0.40284595
41910,0.4005938
42010,0.3439156
42107,0.4154005
42207,0.31748563
42302,0.40024433
42402,0.31807175
42497,0.41031343
42588,0.31993127
42692,0.38866454
42706,0.34829023
42744,0.3545962
42783,0.3220408
42887,0.39721262
42939,0.3262727
42978,0.32086286
43377,0.32297173
43603,0.3340451
44549,0.3337607
44644,0.4130062
44744,0.33202556
44939,0.35427696
45134,0.3341335
45329,0.3382784
45524,0.33041432
45719,0.33267355
45914,0.32753477
46014,0.33211473
